Review	Liked
Wow... This Product is amazing.	1
Product is not good.	0
Not what I ordered for and the customer service was just nasty.	0
Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.	1
I am very happy with this tablet.	1
Now I am getting angry and I want my damn money back.	0
I was really hoping that this would be faster than some other inexspensive tablets I've had.	0
You need to work on the battery.	0
The product is good.	1
Really works as expected.	1
Good quality.	1
Would not go back to this same vendor.	0
The laptop lighting have issues, its not bright at all.	0
The product is good.	1
it Is not working fine.	0
It works well but it is 14gb instead of 16gb indicated.	0
Highly recommended.	1
Delivery was a really slow.	0
The battery health came at 81% which am still confused.	0
I did not like at all.	0
Strong battery life.	1
It works perfectly.	1
Great! Meets my needs....	1
It a very good product and the battery also very good.	1
Yeah!!!! I like it Very convenient to use The quality was excellent too	1
The leather not strong as expected.	0
Nice product.	1
I hate it honestly...very bad.	0
It's made by good quality leather.	1
Delivered something different from the picture and it’s not even original.	0
I found this vendor by accident and I could not be happier.	1
The quality need to be upgraded.	0
Nice soft light and comfy.	1
Met my expectation.	1
Very good.	1
bad quality waste of money.	0
Beautiful leather.	1
Delivery sucks.	0
ery cool.	1
There is not a deal good enough that would drag me to this vendor.	0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
This is surprisingly a shoe of good quality for the price.	1
I am happy I got it.	1
Packaging is bad.	0
My son is using it but it's like it won't last long.	0
Very fitting and has a high quality.	1
Exactly what I ordered.	1
Exactly the right size.	1
The sneakers is all I expected it to be.	1
Came in good condition and really good quality.	1
Perfect size also.	1
It's very comfortable.	1
It was as shown in pic but the quality was below expectation.	0
Description accuracy.	1
Very fit and nice.	1
I really love it.	1
I ordered for size 40 deep blue but I got size 39 light blue.	0
Not good enough.	0
The colour is different from the colour I ordered.	0
Comfortable and nice.	1
Poor shoe sole UK size 45 is my normal shoe size but this blue unisex UK size 45 is more of size 44 small.	0
The colour was light blue not dark blue.	0
I love it.	1
very nice!	1
Good quality.	1
I am so glad I found this vendor.	1
Great product and they give a good discount.	1
Its just same in the picture and its cool.	1
I got what expected and pray it will last.	1
It's exactly what I wanted.	1
I sincerely didn't expected it would be a rubber material.	0
So much love this phone.	1
Good and lovely simply for the smart people.	1
Nice sneakers.	1
Nice but not the colour I ordered for.	0
It took over 10 days to get the product instead of the 5 days assured by vendor.	0
Bad packaging.	0
Its fake.	0
The quality wasn’t as expected.	0
Nice product for the price.	1
It's superb.	1
I had to order mine after buying for a friend.	1
It doesn't feel good.	0
The shirt makes me uncomfortable.	0
It's not working.	0
High Quality Material.	1
The material is coated and has already started peeling off in the 1st week of arrival.	0
Perfectly made.	1
material is of low quality.	0
It's very much worth the amount.	1
Good quality.	1
Great wears.	1
Fits perfectly.	1
It’s great.	1
The product is nice.	1
In summary this was a largely disappointing purchase.	0
If you're looking to get good texture quality tees this is your plug.	1
Good quality.	1
Is a bit fast to fade.	0
We'll never shop from this vendor again.	0
This hoodie is perfect for it's price.	1
The hoodie is good.	1
It was not good.	0
Quality material with superb stiches.	1
Makes sense. Value for money...at least the one I got.	1
best deal i’ve gotten from Jumia.	1
Met up with my expectations.	1
It's authentic and it's exactly how I wanted it. Kudos to you guys at Jumia. You're doing well.	1
The product is beautiful and amazing.	1
item came intact, and as discribed by seller.	1
Durable and very fine piece of watch.	1
It worth the price, even better.	1
Its good and cheap.	1
Sooooo good!!	1
just after two days of usage the two side buttein fade and change colour.	0
Don't think it a good product.	0
The product is okay..I love it.	1
